n_features,features,train_rmse,test_mae,test_rmse,test_r2,intercept,coefficients_json
2,feat_median_hh_income|overall_homeless,201.46236670016424,136.9848538460401,189.93596326915772,0.0004960397247955051,74.08153205149577,"{""feat_median_hh_income"":0.0007758746234325818,""overall_homeless"":-8.611860994925247e-05}"
2,feat_total_population|unsheltered_homeless,201.4873435970099,136.93373790335804,189.95804389552757,0.00026363554019459556,-1262.344767886622,"{""feat_total_population"":2.7350240587955297e-05,""unsheltered_homeless"":-9.143198879789239e-05}"
3,feat_median_hh_income|feat_total_population|overall_homeless,201.44996400065827,136.97515033022242,190.00603375004573,-0.00024156299774036327,-893.0376773925262,"{""feat_median_hh_income"":0.0002660613768613286,""feat_total_population"":1.9752787542109336e-05,""overall_homeless"":-8.653860624923536e-05}"
2,feat_poverty_rate|feat_total_population,201.52374892618178,136.7169183868212,190.006284126952,-0.0002441990987960274,-729.2957991775551,"{""feat_poverty_rate"":417.3013890348431,""feat_total_population"":1.577166599491994e-05}"
3,feat_median_hh_income|overall_homeless|unsheltered_homeless,201.3120785769182,137.15561522418201,190.02581524825578,-0.00044984382199175776,82.9158383291902,"{""feat_median_hh_income"":0.0008274012653951813,""overall_homeless"":-0.0007794143341221689,""unsheltered_homeless"":0.0009745898301111636}"
2,feat_total_population|overall_homeless,201.45259772315296,137.0149113765831,190.08271421488334,-0.0010490580350002165,-1281.9406370525203,"{""feat_total_population"":2.778991647442202e-05,""overall_homeless"":-8.63962588793737e-05}"
4,feat_median_hh_income|feat_total_population|overall_homeless|unsheltered_homeless,201.29771217512447,137.1395264318663,190.0936900510848,-0.0011646673659599927,-957.748103779403,"{""feat_median_hh_income"":0.0002791339665761642,""feat_total_population"":2.1256103183535898e-05,""overall_homeless"":-0.0007845224646243671,""unsheltered_homeless"":0.0009811351693202544}"
2,feat_poverty_rate|feat_unemployment_rate,201.48943227830537,136.9217553569059,190.1639015034385,-0.0019043679503172317,-196.50729678700665,"{""feat_poverty_rate"":-589.8541586676387,""feat_unemployment_rate"":6344.315571503816}"
3,feat_total_population|overall_homeless|unsheltered_homeless,201.30061313445606,137.1705144473718,190.17004548147816,-0.0019691097633249832,-1365.6845525420856,"{""feat_total_population"":2.9686433083479974e-05,""overall_homeless"":-0.0007837505247623084,""unsheltered_homeless"":0.000980259992432374}"
2,feat_median_hh_income|feat_poverty_rate,201.5364714511686,136.81875150065952,190.20755958748228,-0.0023644578605326316,39.348343401898916,"{""feat_median_hh_income"":0.0002607207700872287,""feat_poverty_rate"":534.795950302605}"
1,feat_unemployment_rate,201.4974032923809,136.8617925155645,190.29947709280563,-0.0033334740510546634,-122.13151571903148,"{""feat_unemployment_rate"":3967.362545240073}"
3,feat_poverty_rate|feat_total_population|unsheltered_homeless,201.4748040783237,136.90219031707514,190.36512437726586,-0.004025829908746115,-748.4091973072992,"{""feat_poverty_rate"":424.82488615780954,""feat_total_population"":1.620062595367355e-05,""unsheltered_homeless"":-9.184868293742148e-05}"
3,feat_median_hh_income|feat_poverty_rate|feat_total_population,201.52083472431028,136.80729782560593,190.44995893205262,-0.00492089998570866,-1069.3070681340698,"{""feat_median_hh_income"":-0.0004312542657825513,""feat_poverty_rate"":657.3573741795948,""feat_total_population"":2.2499824784773305e-05}"
1,unsheltered_homeless,201.59529824974624,137.4526590080683,190.45253160871115,-0.00494804994173359,132.3330484384166,"{""unsheltered_homeless"":-8.679111908515756e-05}"
3,feat_poverty_rate|feat_total_population|overall_homeless,201.43991497742422,136.98051005572643,190.49310716246293,-0.005376300140701673,-765.1618118879085,"{""feat_poverty_rate"":427.20747669989447,""feat_total_population"":1.6578654713397008e-05,""overall_homeless"":-8.67003479668381e-05}"
