max_depth,min_samples_leaf,min_samples_split,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,r2_gap_train_minus_test,rmse_ratio_test_over_train
3,4,8,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,4,12,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,6,2,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,6,4,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,6,6,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,6,8,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,6,12,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,8,2,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,8,4,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,8,6,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,8,8,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
3,8,12,75.49907770816574,139.80277697153423,111.89377127184241,213.44658591121814,0.7553581854790997,0.6105507640411244,0.14480742143797531,1.9075823746494016
4,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
4,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
4,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
4,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
4,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
5,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
6,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
6,8,4,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
6,8,6,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
6,8,8,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
6,8,12,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
8,8,2,67.67921737055596,141.94707228535356,105.65233631855811,213.53414930949984,0.7818892473277951,0.61023116658082,0.17165808074697508,2.021102010140707
