hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
29,28.9,3.9,0.120613729,0.062331384,86771,51097595,75124,33971
31,30,1.1,0.120613729,0.062331384,86771,51097595,75124,33971
455,37.2,17.8,0.120613729,0.062331384,86771,51097595,75124,33971
478,41.1,17.2,0.120613729,0.062331384,86771,51097595,75124,33971
369,38.3,15,0.120613729,0.062331384,86771,51097595,75124,33971
61,33.9,11.7,0.120613729,0.062331384,86771,51097595,75124,33971
122,35.6,10.6,0.120613729,0.062331384,86771,51097595,75124,33971
179,37.2,15,0.120613729,0.062331384,86771,51097595,75124,33971
179,40.6,13.9,0.120613729,0.062331384,86771,51097595,75124,33971
6,23.3,-1,0.120613729,0.062331384,86771,51097595,75124,33971
7,22.8,-5.5,0.120613729,0.062331384,86771,51097595,75124,33971
6,23.9,-2.7,0.120613729,0.062331384,86771,51097595,75124,33971
10,26.7,-1,0.120613729,0.062331384,86771,51097595,75124,33971
10,25.6,-6.6,0.120613729,0.062331384,86771,51097595,75124,33971
6,24.4,-1,0.120613729,0.062331384,86771,51097595,75124,33971
14,26.7,2.8,0.120613729,0.062331384,86771,51097595,75124,33971
19,28.9,3.3,0.120613729,0.062331384,86771,51097595,75124,33971
17,29.4,-3.8,0.120613729,0.062331384,86771,51097595,75124,33971
29,31.1,5.6,0.120613729,0.062331384,86771,51097595,75124,33971
18,30.6,3.9,0.120613729,0.062331384,86771,51097595,75124,33971
26,29.4,3.3,0.120613729,0.062331384,86771,51097595,75124,33971
42,33.3,6.7,0.120613729,0.062331384,86771,51097595,75124,33971
57,35,11.7,0.120613729,0.062331384,86771,51097595,75124,33971
8,25,-3.2,0.120455594,0.063729376,89433.75,51296062,79024,39158
7,23.9,-5.5,0.120455594,0.063729376,89433.75,51296062,79024,39158
103,34.4,16.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
109,33.3,13.9,0.120455594,0.063729376,89433.75,51296062,79024,39158
87,36.1,16.7,0.120455594,0.063729376,89433.75,51296062,79024,39158
8,23.3,-7.1,0.120455594,0.063729376,89433.75,51296062,79024,39158
10,26.7,-5.5,0.120455594,0.063729376,89433.75,51296062,79024,39158
10,26.7,-3.8,0.120455594,0.063729376,89433.75,51296062,79024,39158
8,20,-9.3,0.120455594,0.063729376,89433.75,51296062,79024,39158
10,26.7,-6,0.120455594,0.063729376,89433.75,51296062,79024,39158
