target_hri_rate,feat_mean_tmax_c_week,feat_max_tmax_c_week,feat_temp_range_c_week,feat_heat_intensity,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,record_year,region_label
551.0,36.20357142857143,38.4,3.3500000000000014,2.1964285714285694,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
287.0,34.528571428571425,36.275,3.3999999999999986,1.7464285714285737,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
630.0,36.64642857142858,38.325,3.25,1.6785714285714235,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
336.0,35.642857142857146,37.425,2.9749999999999943,1.7821428571428513,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
528.0,37.128571428571426,39.9,4.574999999999996,2.771428571428572,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
803.0,38.325,39.85,3.075000000000003,1.5249999999999986,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
486.0,36.896428571428565,37.85,3.25,0.9535714285714364,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
326.0,35.385714285714286,40.475,7.800000000000004,5.089285714285715,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
242.0,34.22857142857143,40.525,10.25,6.296428571428571,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
120.0,35.75,37.075,2.3500000000000014,1.3250000000000028,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
121.0,34.232142857142854,35.175,1.7249999999999943,0.9428571428571432,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
101.0,35.31428571428571,37.3,4.125,1.9857142857142875,0.1271430608272287,0.0611543060091973,71354.25,50970442,2020,Region 9
76.0,28.05,33.05,10.999999999999996,4.9999999999999964,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
123.0,30.014285714285712,31.5,2.9750000000000014,1.4857142857142875,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
125.0,30.1,31.3,2.1999999999999993,1.1999999999999993,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
59.0,27.892857142857142,31.05,6.25,3.1571428571428584,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
104.0,30.86428571428571,32.7,5.5000000000000036,1.8357142857142923,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
331.0,33.84285714285714,35.325,3.825000000000003,1.4821428571428612,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
189.0,32.26428571428571,35.125,4.399999999999999,2.8607142857142875,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
983.0,37.8,39.125,2.625,1.3250000000000028,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
491.0,34.357142857142854,36.55,4.674999999999997,2.192857142857143,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
452.0,35.10357142857143,36.775,2.875,1.6714285714285708,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
802.0,36.403571428571425,37.85,4.375,1.4464285714285765,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
593.0,35.50714285714286,37.525,3.3500000000000014,2.017857142857139,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
356.0,33.97857142857143,35.35,4.600000000000001,1.3714285714285737,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
278.0,32.42857142857143,34.4,4.5,1.971428571428568,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
453.0,36.260714285714286,37.525,3.25,1.2642857142857125,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
252.0,33.64642857142857,35.175,2.3499999999999943,1.528571428571425,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
181.0,32.525,34.8,4.074999999999996,2.2749999999999986,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
284.0,35.2,37.425,4.774999999999999,2.2249999999999943,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
170.0,33.042857142857144,35.575,5.200000000000003,2.5321428571428584,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
271.0,36.18214285714286,37.15,1.625,0.9678571428571416,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
152.0,33.74285714285714,36.025,4.699999999999999,2.2821428571428584,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
99.0,32.52142857142857,34.925,4.024999999999999,2.403571428571425,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
48.0,29.342857142857145,31.9,4.024999999999999,2.5571428571428534,0.1238229989358873,0.0640248872996297,75925.25,51047292,2021,Region 9
70.0,29.675,32.025,4.549999999999997,2.349999999999998,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
71.0,28.575,34.25,8.774999999999999,5.675000000000001,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
157.0,31.053571428571427,34.325,6.200000000000003,3.271428571428576,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
183.0,31.25,32.925,3.1499999999999986,1.6749999999999972,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
123.0,31.39642857142857,33.525,4.274999999999999,2.12857142857143,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
515.0,35.292857142857144,36.925,3.8499999999999943,1.632142857142853,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
400.0,33.82857142857143,35.9,5.149999999999999,2.0714285714285694,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
340.0,33.964285714285715,35.025,4.049999999999997,1.0607142857142833,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
455.0,35.48571428571429,36.85,2.7250000000000014,1.364285714285714,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
322.0,34.41428571428572,36.05,3.0749999999999957,1.635714285714279,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
709.0,36.18571428571429,37.5,3.125,1.3142857142857096,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
691.0,36.59285714285715,37.675,2.299999999999997,1.0821428571428484,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
303.0,32.57142857142857,33.9,2.5249999999999986,1.3285714285714292,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
359.0,33.92142857142857,35.4,2.875,1.4785714285714278,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
274.0,34.574999999999996,36.25,3.075000000000003,1.6750000000000045,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
322.0,34.17857142857143,35.675,3.25,1.4964285714285666,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
303.0,34.24285714285714,35.0,1.9750000000000016,0.7571428571428598,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
443.0,36.864285714285714,38.575,4.450000000000003,1.710714285714289,0.1222093834338065,0.062661603270617,82736.5,51083792,2022,Region 9
